SchoolWiki,AverageAttendance2016,Stadium Capacity Filled (2016)
Michigan,110468.00,1.03
Ohio State,107278.00,1.05
Texas A&M,101917.00,0.99
Alabama,101821.00,1
LSU,101231.00,0.99
Tennessee,100968.00,0.99
Penn State,100257.00,0.94
Texas,97881.00,0.98
Georgia,92746.00,1
Nebraska,90200.00,1.04
Florida,87846.00,0.99
Auburn,86937.00,0.99
Oklahoma,86857.00,1.06
Clemson,80970.00,0.99
Notre Dame,80795.00,1
Wisconsin,79357.00,0.99
South Carolina,76920.00,0.96
Florida State,76800.00,0.93
Michigan State,74667.00,1
Iowa,69656.00,0.99
Arkansas,69581.00,0.97
USC,68459.00,0.73
UCLA,67459.00,0.74
Ole Miss,64910.00,1.01
Washington,64589.00,0.92
Virginia Tech,63043.00,0.96
Miami,58572.00,0.9
BYU,58569.00,0.91
Mississippi State,58317.00,0.95
Texas Tech,58250.00,0.96
West Virginia,57583.00,0.96
NC State,57497.00,1
Oregon,54677.00,1.01
Louisville,54065.00,0.98
Oklahoma State,53814.00,0.89
Kentucky,53643.00,0.88
Iowa State,52557.00,0.86
Missouri,52236.00,0.73
Kansas State,51919.00,1.04
North Carolina,50250.00,0.8
Arizona,48288.00,0.87
Arizona State,47736.00,0.74
Georgia Tech,47503.00,0.86
California,46628.00,0.75
Colorado,46609.00,0.93
Utah,46506.00,1.02
Pittsburgh,46076.00,0.7
Baylor,45838.00,1.02
Illinois,45644.00,0.75
TCU,45168.00,1
Rutgers,44804.00,0.85
Stanford,44142.00,0.88
East Carolina,44113.00,0.88
Minnesota,43814.00,0.83
Indiana,43027.00,0.82
Virginia,39929.00,0.65
Maryland,39615.00,0.76
Houston,38953.00,0.97
Oregon State,37622.00,0.83
South Florida,37539.00,0.57
Memphis,37346.00,0.66
San Diego State,37289.00,0.73
UCF,35802.00,0.81
Northwestern,34798.00,0.74
Purdue,34451.00,0.6
Boise State,34273.00,0.94
Cincinnati,33585.00,0.96
Syracuse,32805.00,0.67
Army,32653.00,0.86
Boston College,32157.00,0.72
Washington State,31675.00,0.97
Navy,31571.00,0.93
Vanderbilt,31242.00,0.77
Duke,29895.00,0.75
Air Force,29587.00,0.63
Southern Miss,28588.00,0.79
Colorado State,27600.00,0.85
Temple,27225.00,0.4
Connecticut,26796.00,0.67
Wake Forest,26456.00,0.84
Appalachian State,26153.00,1.13
Kansas,25828.00,0.51
Fresno State,25493.00,0.62
Marshall,24760.00,0.65
Hawaii,24521.00,0.49
Western Michigan,23838.00,0.79
SMU,23712.00,0.74
Texas-San Antonio,23038.00,0.63
Texas-El Paso,23001.00,0.44
Tulane,22718.00,0.76
Arkansas State,22700.00,0.74
Troy,22534.00,0.75
Rice,21425.00,0.46
Wyoming,21266.00,0.73
Ohio,21190.00,0.88
Georgia Southern,20819.00,0.83
Toledo,20628.00,0.79
Louisiana Tech,20412.00,0.73
Louisiana-Lafayette,20224.00,0.65
Old Dominion,20118.00,1
North Texas,19878.00,0.64
Tulsa,19234.00,0.64
Utah State,19136.00,0.79
New Mexico,18708.00,0.48
Nevada,18501.00,0.62
UNLV,18389.00,0.5
Texas State,18120.00,0.6
Western Kentucky,17705.00,0.8
Eastern Michigan,17677.00,0.59
Buffalo,17493.00,0.6
Central Michigan,17408.00,0.58
Middle Tennessee,17243.00,0.56
Miami (Ohio),17110.00,0.7
Florida International,16789.00,0.84
South Alabama,16250.00,0.49
San Jose State,15419.00,0.51
Bowling Green,15140.00,0.63
Georgia State,15103.00,0.54
Massachusetts,14510.00,0.85
Charlotte,14192.00,0.93
Louisiana-Monroe,12610.00,0.41
Idaho,11190.00,0.7
Northern Illinois,11019.00,0.47
Kent State,10898.00,0.44
Akron,10337.00,0.34
Florida Atlantic,10073.00,0.34
New Mexico State,9545.00,0.31
Ball State,7789.00,0.35
