Address,Latitude,Longitude
Arizona State University-Tempe,33.42424,-111.928053
Arkansas State University-Main Campus,35.843086,-90.674859
Auburn University,32.593357,-85.495166
Ball State University,40.21475,-85.418382
Baylor University,31.549841,-97.114315
Boise State University,43.603313,-116.201649
Boston College,42.335549,-71.168495
Bowling Green State University-Main Campus,41.379779,-83.630083
California State University-Fresno,36.813364,-119.746094
Central Michigan University,43.581909,-84.775636
Clemson University,34.676094,-82.836415
Colorado State University-Fort Collins,40.573436,-105.086547
East Carolina University,35.605511,-77.364565
Eastern Michigan University,42.25068,-83.624089
Florida Atlantic University,26.373528,-80.102218
Florida International University,25.756576,-80.373949
Florida State University,30.441878,-84.298489
Indiana University-Bloomington,39.17457,-86.512946
Iowa State University,42.026619,-93.646465
Kansas State University,39.197444,-96.584725
Kent State University at Kent,41.149063,-81.341465
Louisiana Tech University,32.526375,-92.64811
Marshall University,38.423533,-82.426314
Michigan State University,42.701848,-84.482172
Michigan State University,42.701848,-84.482172
Michigan State University,42.701848,-84.482172
Mississippi State University,33.455174,-88.794377
New Mexico State University-Main Campus,32.278774,-106.747906
North Carolina State University at Raleigh,35.784663,-78.682095
Northern Illinois University,41.934233,-88.774069
Northwestern University,42.056459,-87.675267
Ohio State University-Main Campus,40.014191,-83.030914
Oklahoma State University-Main Campus,36.127024,-97.073722
Oklahoma State University-Main Campus,36.127024,-97.073722
Oregon State University,44.563781,-123.279444
Purdue University-Main Campus,40.423705,-86.921195
Rice University,29.717394,-95.401831
Rutgers University-New Brunswick,40.500819,-74.447399
San Diego State University,32.774731,-117.069387
San Jose State University,37.335187,-121.881072
Southern Methodist University,32.841218,-96.784517
Texas A & M University-College Station,30.618531,-96.336499
Texas Christian University,32.70953,-97.362795
Texas State University,29.888411,-97.938351
Texas State University,29.888411,-97.938351
Texas State University,29.888411,-97.938351
Texas Tech University,30.245105,-98.84276
Texas Tech University,30.245105,-98.84276
The University of Texas at El Paso,31.770854,-106.504622
The University of Texas at San Antonio,29.583045,-98.619656
Troy University,31.80189,-85.957228
United States Air Force Academy,38.998309,-104.861318
University of Alabama at Birmingham,33.503198,-86.80396
University of Arizona,32.231885,-110.950109
University of Central Florida,28.602427,-81.20006
University of Colorado Boulder,40.007581,-105.265942
University of Georgia,33.948005,-83.377322
University of Hawaii at Manoa,21.296939,-157.817112
University of Illinois at Urbana-Champaign,40.105216,-88.225921
University of Iowa,41.662696,-91.5549
University of Kansas,38.954344,-95.255796
University of Louisiana at Lafayette,30.21144,-92.020412
University of Louisiana at Monroe,32.759132,-117.140087
University of Minnesota-Twin Cities,44.97399,-93.227729
University of Nebraska-Lincoln,40.820197,-96.700476
University of Nevada-Las Vegas,36.10852,-115.143171
University of Nevada-Reno,39.544192,-119.816397
University of New Mexico-Main Campus,35.084319,-106.619781
University of Notre Dame,41.705572,-86.235339
University of Oregon,44.04483,-123.072606
University of South Alabama,30.695941,-88.184236
University of South Carolina-Columbia,33.996112,-81.027428
University of Southern California,34.022352,-118.285117
University of Southern California,34.022352,-118.285117
University of Southern Mississippi,31.33033,-89.335696
University of Utah,40.764937,-111.842102
University of Wisconsin-Madison,43.076592,-89.412487
University of Wyoming,41.314875,-105.566574
Utah State University,41.745161,-111.809742
Wake Forest University,36.13525,-80.276342
Washington State University,46.731923,-117.154212
Washington State University,46.731923,-117.154212
West Virginia University,39.63614,-79.955936
Western Kentucky University,36.985354,-86.456138
Western Michigan University,42.283734,-85.610251
