School,Conference,Capacity
New Mexico State,Independent,30343
UTSA,C-USA,65000
Washington,Pac-12,70500
Boise State,Mountain West,36387
Georgia Southern,Sun Belt,25000
Hawai?i,Mountain West,50000
Boston College,ACC,44500
TCU,Big 12,45000
North Texas,C-USA,30850
Arizona,Pac-12,56029
Oregon,Pac-12,54000
East Carolina,American,50000
Wake Forest,ACC,31500
Penn State,Big Ten,106572
Tulane,American,30000
Kansas State,Big 12,50000
Army,Independent,38000
Florida State,ACC,79560
Georgia Tech,ACC,55000
Oklahoma State,Big 12,60218
NIU,MAC,23595
Duke,ACC,40000
Coastal Carolina,Sun Belt,15000
Alabama,SEC,101821
Fresno State,Mountain West,41031
Louisiana Ragin' Cajuns,Sun Belt,41426
California,Pac-12,62717
Wisconsin,Big Ten,80321
Maryland,Big Ten,51802
Virginia,ACC,61500
Southern Miss,C-USA,36000
Syracuse,ACC,49250
San Jose State,Mountain West,30456
Arkansas State,Sun Belt,30964
Texas,Big 12,100119
Mississippi State,SEC,61337
Kent State,MAC,25000
Arkansas,SEC,72000
Bowling Green,MAC,24000
New Mexico,Mountain West,39224
Air Force,Mountain West,46692
Florida Atlantic,C-USA,30000
Missouri,SEC,71168
Colorado,Pac-12,50183
Old Dominion,C-USA,20118
Clemson,ACC,81500
Miami (OH),MAC,24286
Oklahoma,Big 12,86112
Georgia State,Sun Belt,25000
SMU,American,32000
Toledo,MAC,26248
Miami,ACC,65326
Pittsburgh,ACC,68400
Rutgers,Big Ten,52454
Western Kentucky,C-USA,22113
Akron,MAC,30000
Iowa State,Big 12,61500
Texas State,Sun Belt,30000
Marshall,C-USA,38019
Louisiana Tech,C-USA,28562
Houston,American,40000
Middle Tennessee,C-USA,31000
Wyoming,Mountain West,29181
Texas Tech,Big 12,60862
Louisiana-Monroe,Sun Belt,30427
Central Michigan,MAC,30255
North Carolina,ACC,62562
Appalachian State,Sun Belt,35126
Iowa,Big Ten,70585
Kentucky,SEC,61000
Texas A&M,SEC,102733
South Alabama,Sun Belt,40000
Virginia Tech,ACC,66233
BYU,Independent,63725
UAB,C-USA,71594
Memphis,American,62380
Temple,American,68532
Southern California,Pac-12,93607
Nevada,Mountain West,26000
Washington State,Pac-12,32248
Charlotte,C-USA,15314
Baylor,Big 12,45140
Illinois,Big Ten,60670
Indiana,Big Ten,52959
Kansas,Big 12,50071
Nebraska,Big Ten,85458
Utah State,Mountain West,25513
Michigan,Big Ten,107601
West Virginia,Big 12,60000
Navy,American,34000
Tennessee,SEC,102455
Cincinnati,American,40000
Notre Dame,Independent,77622
Ohio State,Big Ten,104944
Louisville,ACC,55000
Auburn,SEC,87451
Ohio,MAC,24000
Connecticut,American,40000
USF,American,65857
Oregon State,Pac-12,45674
FIU,C-USA,23500
Rice,C-USA,47000
Utah,Pac-12,45807
UCLA,Pac-12,90888
Purdue,Big Ten,57236
Northwestern,Big Ten,47130
Eastern Michigan,MAC,30200
UNLV,Mountain West,36800
Georgia,SEC,92746
Ball State,MAC,22500
San Diego State,Mountain West,70561
Tulsa,American,30000
Colorado State,Mountain West,41200
Michigan State,Big Ten,75005
UCF,American,44206
Stanford,Pac-12,50424
Florida,SEC,88548
UTEP,C-USA,51500
Arizona State,Pac-12,56232
Minnesota,Big Ten,50805
LSU,SEC,102321
Buffalo,MAC,29013
Vanderbilt,SEC,40350
Mississippi,SEC,64038
Troy,Sun Belt,30402
Western Michigan,MAC,30200
UMass,Independent,17000
NC State,ACC,57583
South Carolina,SEC,80250
