NGPL Production Annual,
http://www.eia.gov/opendata/qb.php?category=711270&sdid=TOTAL.NGELPUS.A,
21:04:23 GMT-0500 (Eastern Standard Time),
Source: U.S. Energy Information Administration,
Year,Series ID: TOTAL.NGELPUS.A Billion Cubic Feet
2015,1693.432
2014,1608.148
2013,1356.709
2012,1250.012
2011,1134.473
2010,1066.366
2009,1024.082
2008,953.451
2007,930.32
2006,906.069
2005,876.497
2004,926.6
2003,875.816
2002,956.992
2001,953.984
2000,1015.542
1999,972.616
1998,937.798
1997,963.759
1996,958.178
1995,907.795
1994,888.5
1993,886.455
1992,871.905
1991,834.637
1990,784.118
1989,784.502
1988,815.844
1987,812.32
1986,799.645
1985,816.37
1984,837.867
1983,789.632
1982,761.942
1981,774.562
1980,776.605
1979,807.845
1978,852.13
1977,862.563
1976,854.086
1975,872.282
1974,887.49
1973,916.551
1972,907.993
1971,883.127
1970,906.413
1969,866.56
1968,827.877
1967,784.534
1966,739.308
1965,753.473
1964,722.565
1963,670.251
1962,623.616
1961,592.446
1960,542.89
1959,498.457
1958,458.04
1957,433.636
1956,418.013
1955,376.686
1954,354.348
1953,340.068
1952,319.158
1951,292.4
1950,259.862
1949,224.332
