Natural Gas Imports From Canada Annual,
http://www.eia.gov/opendata/qb.php?category=711271&sdid=TOTAL.NGIMPCN.A,
21:08:55 GMT-0500 (Eastern Standard Time),
Source: U.S. Energy Information Administration,
Year,Series ID: TOTAL.NGIMPCN.A Billion Cubic Feet
2015,2626.088
2014,2634.809
2013,2785.982
2012,2962.827
2011,3117.081
2010,3279.752
2009,3271.107
2008,3589.089
2007,3782.708
2006,3589.995
2005,3700.454
2004,3606.543
2003,3437.23
2002,3784.978
2001,3728.537
2000,3543.966
1999,3367.545
1998,3052.073
1997,2899.152
1996,2883.277
1995,2816.408
1994,2566.049
1993,2266.751
1992,2094.387
1991,1709.716
1990,1448.065
1989,1339.357
1988,1276.322
1987,992.532
1986,748.78
1985,926.056
1984,755.368
1983,711.923
1982,783.407
1981,762.113
1980,796.507
1979,1000.775
1978,881.123
1977,997.295
1976,953.613
1975,948.115
1974,959.063
1973,1027.883
1972,1009.323
1971,912.426
1970,778.687
1969,680.106
1968,604.462
1967,513.255
1966,430.189
1965,404.686
1964,390.721
1963,356.455
1962,350.438
1961,167.104
1960,108.657
1959,83.061
1958,89.586
1957,20.971
1956,10.374
1955,10.881
1954,6.847
1953,9.225
1952,7.803
1951,0
1950,0
1949,0
